批id, 次id, 异常数量, 总数,
x,1606556128,0,0,
x,1606556138,0,0,
x,1606556491,0,0,
x,1606556497,0,0,
x,1606556514,0,0,
x,1606558382,0,0,
1606562007,1606562009,0,0,
1606562009,1606562009,0,0,
1606562009,1606562009,0,0,
1606562009,1606562010,0,0,
1606562010,1606562012,0,0,
1606562012,1606562016,0,0,
1606562016,1606562016,0,0,
1606562016,1606562018,0,0,
1606562018,1606562019,0,0,
1606562019,1606562021,0,0,
1606562019,1606562023,0,0,
1606562023,1606562024,0,0,
1606562024,1606562025,0,0,
1606562025,1606562025,0,0,
1606562025,1606562065,0,0,
1606562065,1606562067,0,0,
1606562067,1606562067,0,0,
1606562067,1606562068,0,0,
1606562068,1606562068,0,0,
1606562068,1606562068,0,0,
1606562068,1606562068,0,0,
1606562068,1606562068,0,0,
1606562091,1606562094,0,0,
1606563541,1606563547,0,0,
1606564090,1606564097,0,0,
1606564148,1606564150,0,0,
1606564148,1606564154,0,0,
1606564148,1606564156,0,0,
1606564225,1606564239,0,0,
1606564518,1606564535,0,0,
1606564796,1606564799,0,0,
1606564796,1606564838,0,0,
1606564849,1606564856,0,0,
1606565172,1606565175,0,0,
1606565172,1606565177,0,0,
1606565696,1606565739,0,0,
1606565832,1606565843,0,0,
1606565882,1606565884,0,0,
1606566543,1606566550,0,0,
1606566633,1606566639,0,0,
1606566763,1606566773,0,0,
1606566787,1606566822,0,0,
1606566787,1606569848,0,0,
1606569848,1606569852,0,0,
1606569906,1606569915,0,0,
